SNAPSHOT_ID,PERFORMANCE_MONTH,REGION,STRATEGY_MODE,OTIF_PCT,FILL_RATE_PCT,NET_SALES_GROWTH_PCT,LEAD_TIME_DAYS,ORDER_FLEXIBILITY_SCORE,FORECAST_MAPE_PCT,FORECAST_BIAS_PCT,NPI_COUNT,GROSS_MARGIN_PCT,EBITDA_MARGIN_PCT,COGS_USD,SGA_USD,OEE_PCT,FIRST_PASS_YIELD_PCT,PURCHASING_PRICE_INDEX,ROCE_PCT,FREE_CASH_FLOW_USD,CASH_CONVERSION_CYCLE_DAYS,DIOH_DAYS,DSO_DAYS,DPO_DAYS,ASSET_TURNS,CYCLE_STOCK_VALUE,SAFETY_STOCK_VALUE,PIPELINE_STOCK_VALUE,ANTICIPATION_STOCK_VALUE,STRATEGIC_STOCK_VALUE,TOTAL_INVENTORY_VALUE,NOPAT_USD,WORKING_CAPITAL_DELTA_USD,FIXED_ASSET_DELTA_USD,CAPITAL_EMPLOYED_USD,EVA_USD
1,2023-01-01,NORTH_AMERICA,GROWTH,97.49,96.01,5.34,7.2,83.1,9.4,0.3,4,33.31,16.15,71242177.33,10205844.94,72.4,87.6,96.88,15.95,16486092.14,54.0,85.7,43.2,51.2,1.84,6560186.4,4091961.64,2348501.67,3465072.47,3404460.05,19870182.24,14699098.52,-1150643.56,-636350.07,113297705.63,3369327.96
2,2023-01-01,NORTH_AMERICA,MARGIN,89.45,86.67,7.7,10.0,76.8,10.1,0.6,2,37.0,18.0,77279612.06,12587799.82,86.5,95.7,104.46,15.13,11451530.2,56.9,64.1,38.3,43.8,1.73,11842330.27,6081067.46,2732229.41,2259324.96,1137554.08,24052506.17,11625222.84,80272.08,93420.56,92468443.04,2378378.54
3,2023-01-01,NORTH_AMERICA,CASH,92.99,89.81,15.17,10.2,80.7,18.4,1.1,3,39.88,19.44,64166447.75,11195942.46,89.8,92.4,95.98,16.57,11345404.72,35.0,66.0,42.6,44.7,3.29,8109823.22,5276283.25,6377637.07,2722061.78,4548850.97,27034656.29,12132447.87,245108.79,541934.36,110431401.94,1089307.68
4,2023-01-01,EUROPE,GROWTH,97.54,94.2,4.64,9.5,83.0,20.0,-0.8,6,40.86,19.93,74540442.98,18607305.83,89.2,94.2,112.34,14.54,5955661.67,46.1,58.6,39.7,38.3,3.47,13960913.0,5226024.32,2660311.55,1390789.28,2708431.15,25946469.3,5069521.31,-330355.99,-555784.38,100429892.1,-4973467.9
5,2023-01-01,EUROPE,MARGIN,93.3,91.08,0.4,13.2,86.1,20.7,-0.7,3,34.25,16.63,52708693.1,18353024.96,75.1,95.7,105.24,13.68,9862914.2,53.3,71.4,60.3,46.8,3.29,12282163.49,5574481.93,5793834.98,2708971.56,3143098.74,29502550.69,8207800.65,-1836899.43,181785.89,87460740.42,-538273.39
6,2023-01-01,EUROPE,CASH,91.38,88.56,1.4,16.1,75.6,24.6,-0.9,6,36.3,17.65,73396266.38,16420316.46,84.3,89.9,96.17,20.36,4034324.78,48.8,52.1,49.7,55.4,2.51,8390297.91,5444467.02,6355734.07,3565608.34,4548345.7,28304453.05,5841399.65,1594216.75,212858.12,86465148.56,-2805115.21
7,2023-01-01,ASIA_PACIFIC,GROWTH,95.21,91.35,5.69,12.3,79.6,15.8,4.6,6,47.6,23.3,78617857.31,19148643.9,79.8,91.6,105.31,15.89,7131944.46,48.5,65.5,48.5,40.4,2.09,7807723.62,3170211.77,5872833.78,1225609.71,4761834.34,22838213.21,8701587.0,1713274.25,-143631.7,80618264.66,639760.54
8,2023-01-01,ASIA_PACIFIC,MARGIN,95.15,92.31,2.48,12.9,83.6,15.3,4.1,0,42.58,20.79,69498917.92,17019668.77,65.1,91.3,98.35,17.55,13854780.16,63.6,56.5,44.4,37.3,1.67,13670723.19,9392683.87,5068054.39,2279927.96,4193180.72,34604570.12,12957926.69,-648019.37,-248834.09,115600213.67,1397905.33
9,2023-01-01,ASIA_PACIFIC,CASH,92.14,89.77,2.73,18.0,74.3,15.6,0.0,6,31.74,15.37,58124967.54,14389714.21,67.4,99.0,96.37,24.44,3262009.91,27.2,52.2,55.0,49.8,2.45,12260913.34,9830964.56,5097802.09,1699608.54,4180744.78,33070033.3,5784563.81,1850593.66,671960.24,81014029.74,-2316839.16
10,2023-01-01,LATAM,GROWTH,93.2,90.0,7.23,11.9,84.4,18.6,6.8,8,32.74,15.87,68775797.47,15031362.59,68.1,92.5,101.06,10.27,15772023.21,56.8,49.4,35.0,46.4,2.89,8985047.34,7310950.69,5810561.91,797238.03,2498450.46,25402248.43,13564898.41,-1348262.29,-858862.51,106347745.26,2930123.89
