BRIDGE_ID,PERFORMANCE_MONTH,REGION,SCENARIO_ID,PREDICTED_FCF_USD,PREDICTED_ROCE_PCT,PREDICTED_SAFETY_STOCK_USD,PREDICTED_PIPELINE_STOCK_USD,LEAD_TIME_IMPACT_FCF,FORECAST_ERROR_IMPACT_SAFETY,BATCH_SIZE_IMPACT_CYCLE,FCF_LOWER_BOUND,FCF_UPPER_BOUND,ROCE_LOWER_BOUND,ROCE_UPPER_BOUND,MODEL_SOURCE
1,2023-01-01,NORTH_AMERICA,1,15817376.16,14.02,4545873.58,2490423.97,100000,188000.0,716895.58,13312519.4,18011055.66,12.56,15.34,XGBOOST
2,2023-01-01,NORTH_AMERICA,2,14303237.94,13.93,5304840.05,2810408.87,-150000,188000.0,565755.37,12191465.14,16494335.19,12.56,15.34,PROPHET
3,2023-01-01,NORTH_AMERICA,3,14115638.27,11.12,4643323.53,3270614.42,-400000,188000.0,530216.44,11630938.0,15735974.95,9.86,12.04,XGBOOST
4,2023-01-01,NORTH_AMERICA,4,14897827.6,14.06,5608936.68,2503775.51,100000,188000.0,743254.07,12471728.7,16873515.31,12.56,15.34,PROPHET
5,2023-01-01,NORTH_AMERICA,5,11685755.17,17.05,5723470.68,2706906.14,-150000,202000.0,1091503.91,10025814.69,13564337.52,15.42,18.84,XGBOOST
6,2023-01-01,NORTH_AMERICA,6,10777620.64,17.05,6928088.5,3112796.77,-400000,202000.0,1151995.84,9247110.64,12510796.74,15.42,18.84,PROPHET
7,2023-01-01,NORTH_AMERICA,7,10209800.4,13.99,5659991.29,3479948.77,-650000,202000.0,1085773.36,8857758.61,11984026.35,12.72,15.54,XGBOOST
8,2023-01-01,NORTH_AMERICA,8,11177797.38,17.18,7343143.97,2749401.33,-150000,202000.0,1163423.68,9441786.65,12774181.94,15.42,18.84,XGBOOST
9,2023-01-01,NORTH_AMERICA,9,12496800.16,21.58,4490897.83,5747625.43,-100000,368000.0,840960.95,10607953.41,14351936.97,19.41,23.73,PROPHET
10,2023-01-01,NORTH_AMERICA,10,11242560.18,21.26,5382232.54,6505701.86,-350000,368000.0,845869.11,9836465.89,13308159.74,19.41,23.73,PROPHET
11,2023-01-01,NORTH_AMERICA,11,10984932.64,18.46,4430965.38,7561228.75,-600000,368000.0,870746.21,9450722.13,12786271.12,16.71,20.43,XGBOOST
