STRATEGY_MODE,SHOCK_EVENT,SERVICE_WEIGHT,COST_WEIGHT,CASH_WEIGHT,OTIF_DELTA_PCT,LEAD_TIME_DELTA_DAYS,SAFETY_STOCK_DELTA_PCT,PIPELINE_STOCK_DELTA_PCT,ROCE_DELTA_PCT,FCF_DELTA_PCT,PERMISSIBLE_RED,MANDATORY_GREEN,ECONOMIC_BET,SCENARIO_ID
GROWTH,,1.5,0.8,0.7,3,-2,10,5,-2,-5,CASH,SERVICE,Revenue growth will outpace capital cost,1
GROWTH,SUPPLY_DISRUPTION,1.5,0.8,0.7,-2,3,30,20,-2,-13,CASH,SERVICE,Revenue growth will outpace capital cost,2
GROWTH,PORT_STRIKE,1.5,0.8,0.7,3,8,10,35,-5,-17,CASH,SERVICE,Revenue growth will outpace capital cost,3
GROWTH,DEMAND_SURGE,1.5,0.8,0.7,-5,-2,35,5,-2,-11,CASH,SERVICE,Revenue growth will outpace capital cost,4
MARGIN,,0.8,1.5,1.0,-2,3,-5,0,2,3,SERVICE,COST,Profitability is more vital than volume,5
MARGIN,SUPPLY_DISRUPTION,0.8,1.5,1.0,-7,8,15,15,2,-5,SERVICE,COST,Profitability is more vital than volume,6
MARGIN,PORT_STRIKE,0.8,1.5,1.0,-2,13,-5,30,-1,-9,SERVICE,COST,Profitability is more vital than volume,7
MARGIN,DEMAND_SURGE,0.8,1.5,1.0,-10,3,20,0,2,-3,SERVICE,COST,Profitability is more vital than volume,8
CASH,,0.7,0.9,1.6,-1,2,-15,-10,5,10,SERVICE,ROCE,Liquidity is the priority over expansion,9
CASH,SUPPLY_DISRUPTION,0.7,0.9,1.6,-6,7,5,5,5,2,SERVICE,ROCE,Liquidity is the priority over expansion,10
CASH,PORT_STRIKE,0.7,0.9,1.6,-1,12,-15,20,2,-2,SERVICE,ROCE,Liquidity is the priority over expansion,11
CASH,DEMAND_SURGE,0.7,0.9,1.6,-9,2,10,-10,5,4,SERVICE,ROCE,Liquidity is the priority over expansion,12
